ID,캐릭터 이름,대사 : comma는 (`)로 대체하기
1,시스템,:복수는 개인의 일이며' 벌은 신의 일이다. -빅토르 위고
,,:DAY 1
2,이지윤,으 머리 아파...
,,머리가 깨질 듯이 아팠다.
,,그러나 이내 두통이 좀 가시자'
,,알 수 없는 위화감이 내 온몸을 덮쳤다.
,,여긴... 어디지?
,이지윤,여기가 어디야...
,,낯설고 빛이 거의 들지 않는 공간' 두통으로 깨질 듯한 머리로 
,,혼란스러운 상황에서 나는 내가 마지막으로 생각나는 것들을
,,되짚어보기로 했다.
3,키워드,침착: 혼란스러운 상황에서도 평정심을 잃지 않는다.
4,이지윤,대학교 수업이 끝나고 집에 가는 길에 누가 전단지와 음료수를
,,줬던 게 기억나. 그게 마지막 기억이야.
5,키워드,의문의 납치: 하굣길에 이유를 알 수 없는 납치를 당했다.
6,키워드,대학생: 대학생이다.
7,시스템,Tip1:입수한 키워드는 이 버튼을 누르면 확인할 수 있습니다.
,,Tip2:키워드는 각각의 버튼을 누르면 상세 설명을 볼 수 있습니다.
8,이지윤,더 생각해 봐야 떠올릴 만한 정보는 없을 것 같다.
,,어둡지만 이제 방 안을 둘러보는 게 더 나을 것 같아.
9,시스템,:방 안을 탐색하는 것이 가능해졌습니다. 수상한 곳을 눌러 관련된\n 정보를 얻을 수 있습니다.
10,이지윤,방 문이 잠겨있다. 강제로 여는 건 불가능할 것 같아.
,,여기 있는 키패드를 어떻게든 활용해야 할 것 같은데.
,,키패드가 작동을 안 하네.
11,시스템,방문: 방문이 잠겨있다. 무력으로는 열 수 없을 것 같다.
,,키패드: 문 옆에는 키패드가 달려있다. 현재 전기가 나갔는지
,,             어떤 버튼을 눌러도 작동하지 않는다.
12,이지윤,벽 한쪽을 가득 채울 만큼 큰 스크린이다. 역시 켜져 있지는 않다.
13,시스템,스크린: 엄청나게 큰 TV화면이다. 어떤 버튼도 보이지 않는다.
14,이지윤,이 방은 지금 전등 빼고는 전기가 안 통하는 것 같다.
15,,이제 뭘 더 할 수 있을까 고민하던 그 때'
,,갑자기 화면에 불이 들어왔다.
16,???,아아' 잘 들리시나요?
17,이지윤,뭐지...?
18,???,당신은 당신이 저지를 죄를 아시나요?
19,이지윤,내가... 저지른 죄?
20,,스크린은 무언가를 더 생각할 틈도 주지 않고 말을 뱉어냈다.
21,???,당신이 저지른 죄를 아셔야 할 겁니다. 
,,안 그러면 죽을 테니까요.
,,내일부터 묻겠습니다. 당신의 죄를 안다면 고하세요.
,,모두가 맞게 죄를 고하면 모두 살아나갈 것이며
,,한 명이라도 틀린다면
,,그 방에서 가장 늦게 나가는 자가 그 대가를 지불해야 할 것입니다.
,,자세한 규칙은 스크린에 띄워두죠.
,,그럼... 내일 뵙겠습니다.
22,,내가 뭘 들었는지 생각할 틈도 없이 의문의 목소리는 제 할 말만 
,,하고 사라져버렸다. 
,,내가 저지른 죄? 내일부터 누군가 죽을 것이라고?
,,나 말고 다른 사람이 더 있나? 의문들이 머리를 가득 채웠다.
23,시스템,의문점1- 내가 저지른 죄를 기억해내라고 한다.
,,               당장 짚이는 구석은 없다.
,,의문점2- 사람을 죽인다고 했다. 정말일까? 
,,                정말이라면 당장 여기서 나가야 한다.
,,의문점3- 나 말고 다른 사람도 있는 듯 하다.
,,                몇 명이나 여기에 있는 걸까?
,,                나와 안면이 있는 사람은 있을까?
24,,더 고민해 봤자 여기서는 답을 더 얻을 수 없을 것 같다.
,,일단... 이 방을 나가는 것이 최선일 것 같다.
,,다행히도 스크린의 불빛과 전등에 불이 들어온 덕에 방이 밝아져서 
,,다시 방을 조사해 볼 수 있을 것 같다. 방을 다시 탐색해보자.
25,시스템,키패드: 키패드에 불이 들어왔다. 
,,             이제 숫자를 입력할 수 있을 것 같다.
,,화면: 화면에 아까 누군가가 말한 규칙들이 적혀있다.
,, - 방에 갇혔을 때 본인의 죄를 모두가 맞게 고하면 살아나갈 수 있다.
,, - 방에서 탈출 시 자신의 죄를 알 수 있는 힌트(키워드)를 받을 수 있다.
,, - 방에서 가장 늦게 탈줄하는 사람이 죽는다.
,, - 한 명이 죽은 그 다음날은 누구도 죽지 않는다.
,, - 밤은 자신의 방에서 혼자 보내야 한다. 저녁 열 시 전까지는 방으로
,,   되돌아가야한다.
26,이지윤,"왜인지는 모르겠지만, 규칙이 이게 다가 아닐 것 같아."
27,시스템,"바닥에 떨어진 종이: 앞면은 ○○은행에서 돈을 이체한 내역이 적혀있다,"
,,금 일천이백삼십오만원을 누군가에게 보낸 내역이다. 보낸 사람과
,,받은 사람에 대한 정보는 알 수 없다.
28,이지윤,뒷면에도 무언가 적혀있는 것 같다.
29,시스템,종이 뒷면: 알 수 없는 수식이 적혀있다.
,, 9674 = 2346225
,, 7859 = 2326422
,, 1235 = ???????
30,이지윤,이게 방을 나갈 수 있는 단서겠지? 앞의 종이와는 무슨 연관이 있을까?
31,,방이 밝아져도 이 이상 얻을 수 있는 건 없는 것 같다.
,,그럼 이 종이가 방을 나갈 수 있는 유일한 단서인 것 같은데...
,,이 퀴즈를 풀고 키패드에 입력하면 되는 걸까?
,,열렸다!
,,이제 이 어둡고 갑갑한 곳에 있을 이유는 없다
32,시스템,도화선: 작은 메모지에 이 단어만 적혀있다.
, ,             내 죄와 관련이 있는 단어라고 했다.
,,의문점4- 다른 사람들도 쪽지를 받았을까? 받았다면 무슨 내용일까?
33,이지윤,이게 무슨 의미일까? 일단 생각나는 건 없어.
34,,밖으로 나가보자.
